FID;ID;Type;Diameter;Material;LENGTH_GEO;START_X;START_Y;MID_X;MID_Y;END_X;END_Y;INSIDE_X;INSIDE_Y
178;179;Tertiary;Φ80;UPVC Pipe;16,644436374200001;25,133037145700001;35,334582858600001;25,133054669000000;35,334656482299998;25,133072192400000;35,334730106000002;25,133054669000000;35,334656482299998
179;180;Tertiary;Φ155;Asbestos Cement pipe;16,329678518500000;25,133072192400000;35,334730106000002;25,133160581100000;35,334717076600000;25,133248969899999;35,334704047199999;25,133160581100000;35,334717076600000
180;181;Tertiary;Φ155;Asbestos Cement pipe;22,732128929999998;25,133072192400000;35,334730106000002;25,132949646400000;35,334750380999999;25,132827100400000;35,334770656099998;25,132949646400000;35,334750380999999
181;182;Tertiary;Φ155;Asbestos Cement pipe;6,932079643060000;25,132827100400000;35,334770656099998;25,132789495800001;35,334775795600002;25,132751891200002;35,334780935100000;25,132789495800001;35,334775795600002
182;183;Tertiary;Φ155;Asbestos Cement pipe;5,860389611240000;25,132751891200002;35,334780935100000;25,132719732000002;35,334779184500000;25,132687572799998;35,334777433900001;25,132719732000002;35,334779184500000
183;184;Tertiary;Φ155;Asbestos Cement pipe;5,519550800260000;25,132687572799998;35,334777433900001;25,132657459000001;35,334780567499998;25,132627345200000;35,334783701100001;25,132657459000001;35,334780567499998
184;185;Tertiary;Φ155;Asbestos Cement pipe;9,564793380579999;25,132627345200000;35,334783701100001;25,132614004499999;35,334742005000003;25,132600663700000;35,334700308899997;25,132614004499999;35,334742005000003
185;186;Tertiary;Φ155;Asbestos Cement pipe;11,037624077700000;25,132600663700000;35,334700308899997;25,132541407400002;35,334711104000000;25,132482151000001;35,334721899100003;25,132541407400002;35,334711104000000
186;187;Secondary;Φ85;Ductile iron pipe;13,171421523099999;25,133252311000000;35,334822733999999;25,133250640499998;35,334763390600003;25,133248969899999;35,334704047199999;25,133250640499998;35,334763390600003
187;188;Tertiary;Φ130;Ductile iron pipe;28,779355129700001;25,130013713400000;35,334862653199998;25,129895058500001;35,334776816599998;25,129776403699999;35,334690979999998;25,129895058500001;35,334776816599998
188;189;Tertiary;Φ80;UPVC Pipe;19,006509446100001;25,130013713400000;35,334862653199998;25,130073634399999;35,334792468099998;25,130133555400000;35,334722282999998;25,130073634399999;35,334792468099998
189;190;Tertiary;Φ80;UPVC Pipe;14,167204416700001;25,133134627600000;35,334862164999997;25,133117002900001;35,334799973000003;25,133099378099999;35,334737781100003;25,133117002900001;35,334799973000003
190;191;Tertiary;Φ80;UPVC Pipe;2,614165423410000;25,133099378099999;35,334737781100003;25,133085785300000;35,334733943499998;25,133072192400000;35,334730106000002;25,133085785300000;35,334733943499998
191;192;Tertiary;Φ100;UPVC Pipe;11,558991341200000;25,133252311000000;35,334822733999999;25,133193469300000;35,334842449500002;25,133134627600000;35,334862164999997;25,133193469300000;35,334842449500002
192;193;Tertiary;Φ80;UPVC Pipe;26,871887576300001;25,133737303499998;35,334869334200000;25,133607746799999;35,334811068100002;25,133478190100000;35,334752801999997;25,133607746799999;35,334811068100002
193;194;Tertiary;Φ80;UPVC Pipe;15,279284151100001;25,133478190100000;35,334752801999997;25,133404176100001;35,334720197899998;25,133330162099998;35,334687593699996;25,133404176100001;35,334720197899998
194;195;Tertiary;Φ80;UPVC Pipe;11,717291721800001;25,133737303499998;35,334869334200000;25,133761257500002;35,334820311999998;25,133785211500001;35,334771289899997;25,133761257500002;35,334820311999998
195;196;Tertiary;Φ80;UPVC Pipe;48,028450631600002;25,133785211500001;35,334771289899997;25,133899746499999;35,334576248799998;25,134014281399999;35,334381207699998;25,133899746499999;35,334576248799998
196;197;Secondary;Φ80;UPVC Pipe;14,524681253100001;25,135470593699999;35,334854313800001;25,135401238400000;35,334821836700002;25,135331882999999;35,334789359600002;25,135401238400000;35,334821836700002
197;198;Secondary;Φ80;UPVC Pipe;10,606175343100000;25,135331882999999;35,334789359600002;25,135277927699999;35,334771197400002;25,135223972399999;35,334753035100000;25,135277927699999;35,334771197400002
198;199;Secondary;Φ80;UPVC Pipe;9,454509098750000;25,135223972399999;35,334753035100000;25,135175875800002;35,334736845000002;25,135127779200001;35,334720654900003;25,135175875800002;35,334736845000002
199;200;Secondary;Φ80;UPVC Pipe;39,140031916200002;25,135127779200001;35,334720654900003;25,134926571099999;35,334657976199999;25,134725362899999;35,334595297400000;25,134926571099999;35,334657976199999
200;201;Secondary;Φ90;Asbestos Cement pipe;19,584869942200001;25,132154155700000;35,334906841799999;25,132126606400000;35,334821515100003;25,132099057100000;35,334736188500003;25,132126606400000;35,334821515100003
201;202;Secondary;Φ90;Asbestos Cement pipe;11,447469881000000;25,132099057100000;35,334736188500003;25,132095271299999;35,334684691900001;25,132091485499998;35,334633195300000;25,132095271299999;35,334684691900001
202;203;Secondary;Φ90;Asbestos Cement pipe;26,564859029600001;25,132091485499998;35,334633195300000;25,132075044600001;35,334514236799997;25,132058603800001;35,334395278300001;25,132075044600001;35,334514236799997
203;204;Secondary;Φ90;Asbestos Cement pipe;8,095524538570000;25,132058603800001;35,334395278300001;25,132054048800001;35,334358985900003;25,132049493800000;35,334322693499999;25,132054048800001;35,334358985900003
204;205;Tertiary;Φ155;Asbestos Cement pipe;3,419454276340000;25,132482151000001;35,334721899100003;25,132463876300001;35,334725535600001;25,132445601600001;35,334729172000003;25,132463876300001;35,334725535600001
205;206;Tertiary;Φ155;Asbestos Cement pipe;18,377210977099999;25,132445601600001;35,334729172000003;25,132346920000000;35,334747064200002;25,132248238500001;35,334764956500003;25,132346920000000;35,334747064200002
